nome_mun,ibge,faixa_de_porte_populacional_segundo_o_ibge_2022,indice_de_vulnerabilidade_social,ano,desp_final,estimado,tx_mort,tx_inter,inv_tx_mort,inv_tx_inter,tx_sobrev_mort,tx_sobrev_inter,ef_bcc,ef_ccr,ef_scale,v_desp_por_hab,v_tx_mort,v_tx_inter,uf,peer1,mun_ref,peer2,peer3,categorizacao_mort,categorizacao_inter,categorizacao_desp,ef_bcc_corrigido
Paraíso do Sul,431402,1-Até 20mil hab.,4,2022,106247.21657223412,não,515.1596790331088,1507.0367278563842,0.00194114570821395,6.635538348308236e-4,193.11457082139592,65.35538348308236,0.502,0.206,0.41,62583.080791678854,255.9,1275.3,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5303194666666666
Paraíso do Tocantins,171610,3-Acima de 50mil até 100mil hab.,4,2022,74129.18669662143,não,439.0043074588311,633.473696833029,0.00227788197748783,0.0015785975092563,226.78819774878357,156.85975092563,0.589,0.347,0.589,30465.050916066168,179.8,401.7,TO,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6032024999999999
Paraú,240870,1-Até 20mil hab.,2,2022,46888.03438796586,não,259.2279778913868,231.75208618438188,0.00385760830344858,0.0043149557635671,384.76083034485856,430.4955763567109,1,0.931,0.931,3223.8986073965852,0,0,RN,430155,GO-Abadia de Goiás (100%),NA,NA,5% menores,5% menores,Entre 5% menores e 5% maiores,0.9244417
Paraúna,521640,1-Até 20mil hab.,4,2022,76848.75730769231,não,503.1058589831552,791.2779026594504,0.00198765325854311,0.00126377849885488,197.76532585431124,125.37784988548825,0.514,0.292,0.568,33184.62152715231,243.9,559.5,GO,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5366722000000003
Pardinho,353610,1-Até 20mil hab.,5,2022,85683.00878117728,sim,540.5070509470777,578.3840265111412,0.00185011462523531,0.00172895507856964,184.01146252353183,171.89550785696488,0.478,0.244,0.51,42018.873000622,281.3,346.6,SP,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5006222333333334
Pareci Novo,431403,1-Até 20mil hab.,5,2022,130790.67387096774,não,459.8583303040966,813.597412249591,0.00217458276625915,0.00122910912073209,216.4582766259158,121.91091207320918,0.563,0.188,0.334,87126.53809041248,200.6,581.8,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6278110666666665
Parecis,110145,1-Até 20mil hab.,3,2022,57017.151458333334,não,260.3764633563727,1862.8677181445123,0.00384059291346667,5.368067685428777e-4,383.05929134666735,52.680676854287775,0.996,0.762,0.765,13353.015677789275,1.1,1631.1,RO,430155,GO-Abadia de Goiás (100%),NA,NA,5% menores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.9361071999999993
Parelhas,240890,2-Acima de 20mil até 50mil hab.,3,2022,52357.94838665288,sim,438.1153533800802,276.40622254730357,0.00228250389374614,0.00361786355887433,227.2503893746142,360.7863558874338,0.838,0.699,0.834,8693.812606090127,178.9,44.7,RN,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.695915933333334
Pariconha,270642,1-Até 20mil hab.,1,2022,53467.94700299316,não,537.0838310216601,424.6571504409483,0.0018619067308315,0.00235484083798338,185.19067308315056,234.4840837983387,0.545,0.445,0.817,9803.811223265018,277.9,192.9,AL,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5872049333333327
Parintins,130340,3-Acima de 50mil até 100mil hab.,2,2022,68322.10362731152,não,429.1750335775115,730.8836289429595,0.00233005166135647,0.00136820686686641,232.00516613564713,135.8206866866412,0.603,0.385,0.638,24657.96784677638,169.9,499.1,AM,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6138717333333336
Paripiranga,292380,2-Acima de 20mil até 50mil hab.,2,2022,56954.77587878788,não,367.6364585753216,313.2407388318049,0.0027200784271376,0.00319243277145043,271.00784271376045,318.24327714504324,0.739,0.567,0.767,13290.640098209244,108.4,81.5,BA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7886288666666655
Paripueira,270644,1-Até 20mil hab.,2,2022,89207.89703687107,não,452.0104369736114,323.7768214095355,0.00221233829620261,0.003088547214858,220.23382962026176,307.85472148580095,0.715,0.35,0.49,45543.76125628954,192.8,92,AL,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6419546333333329
